                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5173,                 5.8451,                 1.0683,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.096286,               0.000286,               0.000286
                      2,                 1.4493,                 11.167,                 1.0244,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.091622,             0.00062226,             0.00062226
                      3,                 1.3504,                 11.031,                0.99377,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.086935,             0.00093492,             0.00093492
                      4,                 1.4653,                 3.7885,                 1.0523,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.082224,               0.001224,               0.001224
                      5,                 1.3206,                 2.8765,                 1.0223,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.077489,              0.0014894,              0.0014894
                      6,                 1.1855,                  3.051,                0.96717,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072731,              0.0017313,              0.0017313
                      7,                  1.316,                  2.782,                0.99294,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.06795,              0.0019496,              0.0019496
                      8,                 1.1376,                 2.5432,                0.97062,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.063144,              0.0021442,              0.0021442
                      9,                 1.2858,                 2.1417,                0.97392,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.058315,              0.0023153,              0.0023153
                     10,                 1.2189,                 2.0458,                0.96671,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.053463,              0.0024628,              0.0024628
                     11,                 1.1724,                 1.9727,                0.96822,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.048587,              0.0025867,              0.0025867
                     12,                 1.0647,                  2.011,                0.93363,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.043687,              0.0026869,              0.0026869
                     13,                 1.0206,                 1.8562,                0.92237,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.038764,              0.0027636,              0.0027636
                     14,                 1.0445,                 1.8126,                0.90423,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.033817,              0.0028167,              0.0028167
                     15,                 1.0737,                 1.8431,                0.90143,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.028846,              0.0028461,              0.0028461
                     16,                 0.9978,                 1.8186,                0.91153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.023852,               0.002852,               0.002852
                     17,                0.96786,                 1.7306,                0.89555,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.018834,              0.0028343,              0.0028343
                     18,                 1.0035,                 1.7491,                0.89816,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.013793,               0.002793,               0.002793
                     19,                0.94893,                 1.6623,                0.89633,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.008728,               0.002728,               0.002728
                     20,                0.91499,                 1.6216,                0.87325,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0036395,              0.0026395,              0.0026395
                     21,                0.86939,                 1.6409,                0.88041,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0024302,              0.0024302,              0.0024302
                     22,                0.85158,                 1.5215,                0.86764,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0021942,              0.0021942,              0.0021942
                     23,                0.87045,                 1.5838,                0.87285,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019582,              0.0019582,              0.0019582
                     24,                0.86459,                 1.5374,                0.87723,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017222,              0.0017222,              0.0017222
                     25,                0.84621,                 1.4909,                0.87172,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014862,              0.0014862,              0.0014862
                     26,                 0.8291,                 1.4246,                0.86385,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012502,              0.0012502,              0.0012502
                     27,                0.81771,                 1.3923,                0.87131,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010142,              0.0010142,              0.0010142
                     28,                0.81395,                 1.4066,                0.85718,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00077826,             0.00077826,             0.00077826
                     29,                0.80632,                 1.3648,                0.86369,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00054227,             0.00054227,             0.00054227
                     30,                0.79922,                 1.3626,                0.87471,                0.77791,                0.75157,                0.81362,                0.65724,                0.69737,                  1.176,                0.81148,             0.00030628,             0.00030628,             0.00030628
