fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.73326,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.75348,0.00738,0.01,0.937,0.00055,2.71329,0.67347,7.63026,0.49462,1.5,0.01814,0.7,0.40002,0.0,0.09753,0.47033,0.0,0.0,0.0,0.50317,0.0,0.77387,0.0,0.0
0.74528,0.00765,0.01002,0.93888,0.00055,2.71581,0.66073,7.42755,0.4885,1.5,0.01814,0.70178,0.41532,0.0,0.09539,0.4807,0.0,0.0,0.0,0.52375,0.0,0.77387,0.0,0.0
0.76574,0.00697,0.01082,0.91113,0.00057,2.75789,0.67347,7.61132,0.37463,1.71089,0.02039,0.80209,0.37022,0.0,0.09435,0.46382,0.0,0.0,0.0,0.46391,0.0,0.76507,0.0,0.0
0.0,0.0085,0.01002,0.891,0.00069,2.4569,0.76976,6.9552,0.5936,2.08579,0.01617,0.69704,0.33238,0.0,0.09539,0.4807,0.0,0.0,0.0,0.61054,0.0,0.77387,0.0,0.0
0.73413,0.00724,0.00969,0.92229,0.00059,2.75789,0.61864,8.45874,0.37463,1.71089,0.02107,0.80209,0.3146,0.0,0.10549,0.51337,0.0,0.0,0.0,0.4751,0.0,0.7596,0.0,0.0
0.0,0.00697,0.01267,0.94947,0.00028,3.66768,0.58131,7.78288,0.37463,1.71089,0.01653,0.85723,0.34605,0.0,0.10179,0.48895,0.0,0.0,0.0,0.44044,0.0,0.95537,0.0,0.0
0.76887,0.00591,0.01212,0.91113,0.00053,2.82755,0.64182,9.14312,0.46899,2.15386,0.02039,0.63877,0.31854,0.0,0.11871,0.51185,0.0,0.0,0.0,0.35562,0.0,0.7734,0.0,0.0
0.78927,0.00541,0.01019,0.91113,0.00051,3.07548,0.67347,7.41786,0.37463,1.71089,0.02439,0.9,0.37022,0.0,0.08782,0.46382,0.0,0.0,0.0,0.5387,0.0,0.7092,0.0,0.0
0.76598,0.00567,0.01222,0.90963,0.00054,2.83168,0.64182,8.9188,0.45648,2.08298,0.01998,0.64613,0.31127,0.0,0.11871,0.51185,0.0,0.0,0.0,0.3384,0.0,0.7692,0.0,0.0
0.78555,0.00538,0.01056,0.90275,0.00051,3.04402,0.63004,7.25805,0.37945,1.60975,0.02463,0.9,0.37488,0.0,0.08782,0.46784,0.0,0.0,0.0,0.54575,0.0,0.7092,0.0,0.0
0.0,0.00599,0.01817,0.91113,0.00048,3.3873,0.42307,9.02908,0.51593,1.59166,0.02192,0.40013,0.29578,0.0,0.11871,0.38828,0.0,0.0,0.0,0.35562,0.0,0.69625,0.0,0.0
0.73528,0.00582,0.01276,0.80682,0.00043,3.07548,0.78821,7.41786,0.46929,1.71089,0.0272,0.9,0.49131,0.0,0.08782,0.41812,0.0,0.0,0.0,0.5387,0.0,0.50545,0.0,0.0
0.80986,0.00541,0.01062,0.85193,0.00051,3.2078,0.53131,7.75839,0.37072,1.71089,0.03083,0.83303,0.44336,0.0,0.09238,0.40078,0.0,0.0,0.0,0.59672,0.0,0.7092,0.0,0.0
0.80353,0.00541,0.00964,0.85104,0.00051,3.48326,0.58118,7.16868,0.51606,1.71089,0.03416,0.9,0.50336,0.0,0.09238,0.35784,0.0,0.0,0.0,0.53684,0.0,0.82581,0.0,0.0
0.79768,0.00479,0.01103,0.90307,0.00049,3.10038,0.56735,7.25805,0.36758,1.60975,0.02532,0.9,0.353,0.0,0.08618,0.50559,0.0,0.0,0.0,0.54575,0.0,0.59102,0.0,0.0
0.0,0.00546,0.01019,0.94662,0.00051,3.34034,0.6075,9.06053,0.30497,1.71089,0.02561,0.9,0.34533,0.0,0.09228,0.46382,0.0,0.0,0.0,0.60097,0.0,0.75156,0.0,0.0
0.7766,0.00574,0.01141,0.84213,0.00055,3.58037,0.67956,8.70733,0.36612,1.48138,0.03287,0.86307,0.49973,0.0,0.09668,0.40078,0.0,0.0,0.0,0.64846,0.0,0.93487,0.0,0.0
