                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.524,                 6.4753,                 1.0563,                0.18362,                0.06539,                0.04963,                0.02727,                 1.3071,                 5.8583,                0.95027,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.4216,                 5.6652,                 1.0354,                0.51699,                0.25933,                0.30878,                0.25967,                0.77029,                 4.0484,                0.85909,             0.00014828,             0.00014828,             0.00014828
                      3,                0.91483,                 2.6214,                0.86956,                0.11587,                0.59882,                0.11557,                0.09164,                0.76506,                 21.448,                0.82962,             0.00022794,             0.00022794,             0.00022794
                      4,                0.90602,                 1.9512,                0.86254,                0.29654,                0.66425,                 0.4755,                0.38621,                0.71099,                  3.605,                0.80774,             0.00030566,             0.00030566,             0.00030566
                      5,                0.86346,                 1.7167,                0.84679,                 0.3381,                0.53938,                 0.3933,                0.32334,                0.70147,                 20.008,                0.80422,             0.00038144,             0.00038144,             0.00038144
                      6,                 0.8459,                 1.6133,                0.84943,                0.39138,                0.58017,                0.43807,                0.34405,                  0.769,                 7.5967,                0.81529,             0.00045527,             0.00045527,             0.00045527
                      7,                0.81722,                  1.417,                 0.8356,                 0.3185,                0.57908,                0.36135,                0.27969,                0.76296,                 2.8353,                0.81593,             0.00052717,             0.00052717,             0.00052717
                      8,                0.80743,                 1.3785,                0.85176,                0.69099,                0.73065,                0.74344,                0.58701,                 0.7082,                 1.7912,                0.80501,             0.00059712,             0.00059712,             0.00059712
                      9,                0.83649,                 1.2125,                0.84545,                0.79421,                0.66878,                0.76452,                 0.6017,                0.70182,                 1.6583,                0.80134,             0.00066513,             0.00066513,             0.00066513
                     10,                0.87315,                 1.2608,                0.85731,                0.64203,                0.71785,                0.73584,                0.51551,                0.97219,                 1.7087,                0.86553,             0.00073119,             0.00073119,             0.00073119
                     11,                0.84699,                 1.2271,                0.84562,                0.67107,                0.78198,                0.81624,                0.63508,                0.73446,                 1.6479,                0.81194,             0.00079532,             0.00079532,             0.00079532
                     12,                0.90559,                 1.2268,                0.86952,                0.71305,                0.76259,                0.81455,                0.60612,                0.85227,                  2.013,                0.83792,              0.0008575,              0.0008575,              0.0008575
                     13,                0.89766,                  1.255,                0.86555,                0.61029,                0.78202,                0.77954,                0.57253,                0.86792,                 1.6681,                0.84335,             0.00091774,             0.00091774,             0.00091774
                     14,                0.83835,                 1.1687,                0.85341,                0.65788,                0.72136,                0.75763,                 0.5934,                0.73051,                 1.5803,                0.81208,             0.00097604,             0.00097604,             0.00097604
                     15,                0.82937,                 1.1463,                0.84451,                 0.5795,                0.76335,                0.76765,                0.58513,                0.78483,                 2.3165,                0.82549,              0.0010324,              0.0010324,              0.0010324
                     16,                0.82116,                 1.1253,                0.85106,                0.81062,                0.70997,                0.80522,                0.63511,                0.74442,                 1.5691,                0.82024,              0.0010868,              0.0010868,              0.0010868
                     17,                0.81003,                 1.1772,                0.84172,                0.40217,                0.78654,                 0.5199,                0.42117,                0.73456,                 4.3815,                0.82203,              0.0011393,              0.0011393,              0.0011393
                     18,                0.76193,                 1.0889,                0.82714,                0.79851,                0.67766,                0.77224,                0.61248,                0.73317,                 1.5326,                0.82215,              0.0011898,              0.0011898,              0.0011898
                     19,                0.77583,                 1.0836,                0.83465,                0.78722,                 0.7551,                0.83123,                 0.6458,                0.75056,                 1.3664,                0.83041,              0.0012384,              0.0012384,              0.0012384
                     20,                0.80932,                 1.0757,                 0.8416,                0.71597,                0.67821,                0.78185,                0.61888,                0.72123,                 1.8032,                0.81885,              0.0012851,              0.0012851,              0.0012851
                     21,                0.78273,                 1.0849,                0.84482,                0.79829,                0.72048,                 0.8111,                0.63163,                0.75553,                 1.3625,                0.82435,              0.0012786,              0.0012786,              0.0012786
                     22,                0.80546,                 1.1235,                0.83583,                0.78224,                0.64305,                0.76471,                0.58061,                 0.8309,                 1.7503,                0.84177,              0.0012592,              0.0012592,              0.0012592
                     23,                0.78344,                 1.0664,                0.82974,                0.80905,                0.73878,                0.84982,                0.68379,                0.69078,                    1.2,                0.81048,              0.0012398,              0.0012398,              0.0012398
                     24,                0.77598,                0.97752,                0.83399,                0.74728,                0.75123,                0.81924,                0.63051,                0.74585,                 1.2538,                 0.8147,              0.0012204,              0.0012204,              0.0012204
                     25,                0.77264,                0.95213,                0.83467,                0.69317,                0.72149,                0.79499,                0.63053,                0.70845,                 1.4143,                0.80548,              0.0012009,              0.0012009,              0.0012009
                     26,                0.76689,                 0.9965,                 0.8305,                0.74593,                0.73766,                0.82539,                0.66294,                0.69227,                 1.4485,                0.80433,              0.0011815,              0.0011815,              0.0011815
                     27,                0.77111,                  1.072,                0.83638,                0.81391,                0.77483,                0.84109,                0.68035,                0.68148,                 1.2063,                0.79856,              0.0011621,              0.0011621,              0.0011621
                     28,                0.78615,                 1.0145,                0.83946,                0.79246,                 0.6128,                0.75985,                0.59725,                0.73254,                 1.4016,                0.81706,              0.0011427,              0.0011427,              0.0011427
                     29,                0.72601,                0.86465,                0.82319,                0.84032,                0.71077,                0.84058,                0.67382,                0.70898,                 1.1508,                0.80565,              0.0011233,              0.0011233,              0.0011233
                     30,                0.72433,                0.87379,                0.82726,                 0.8006,                0.74164,                0.85936,                0.68152,                0.72888,                 1.1705,                0.80502,              0.0011038,              0.0011038,              0.0011038
                     31,                0.74716,                0.86118,                0.83137,                0.81504,                0.77289,                0.87027,                0.69744,                0.69904,                 1.0971,                0.79996,              0.0010844,              0.0010844,              0.0010844
                     32,                0.76425,                0.96565,                0.82927,                0.76772,                0.70734,                0.80218,                0.61041,                0.76653,                 1.3107,                0.81267,               0.001065,               0.001065,               0.001065
                     33,                 0.7618,                0.84553,                0.82591,                0.76543,                 0.6735,                 0.7775,                0.61441,                0.73588,                 1.3025,                0.81172,              0.0010456,              0.0010456,              0.0010456
                     34,                0.71422,                0.81668,                0.82507,                0.81933,                0.76026,                0.84962,                0.68766,                0.68606,                  1.062,                0.79982,              0.0010262,              0.0010262,              0.0010262
