                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51991,                0.16924,                0.56109,                0.82019,                0.81376,                0.86478,                0.68049,                0.74669,                0.38328,                0.59909,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                0.49428,                 0.1746,                0.55694,                0.82702,                0.75569,                0.85027,                 0.6593,                0.73669,                0.40503,                0.60246,             0.00014756,             0.00014756,             0.00014756
                      3,                0.46713,                0.16399,                0.55458,                0.84763,                0.72171,                0.83597,                0.63802,                0.77434,                0.46514,                0.60664,              0.0002257,              0.0002257,              0.0002257
                      4,                0.47923,                0.17673,                0.55643,                 0.7939,                0.77867,                0.83493,                 0.6393,                0.75801,                0.43554,                 0.6036,             0.00030111,             0.00030111,             0.00030111
                      5,                0.48125,                0.17588,                0.55849,                0.84275,                0.76944,                0.85957,                0.66983,                0.75095,                0.40268,                0.60086,             0.00037376,             0.00037376,             0.00037376
                      6,                0.47599,                0.17712,                0.56118,                0.80836,                0.76621,                0.86309,                0.65664,                0.79405,                0.39238,                0.60726,             0.00044368,             0.00044368,             0.00044368
                      7,                0.49488,                0.18057,                0.55819,                0.85994,                0.80323,                0.88324,                0.67978,                 0.7597,                 0.3577,                 0.6019,             0.00051086,             0.00051086,             0.00051086
                      8,                0.48203,                0.17441,                0.55834,                0.82952,                0.81815,                0.87257,                0.67661,                0.74773,                0.35773,                0.60197,              0.0005753,              0.0005753,              0.0005753
                      9,                0.47424,                 0.1739,                0.55655,                0.86596,                0.77159,                0.85307,                0.63016,                 0.7985,                0.39296,                0.60677,             0.00063699,             0.00063699,             0.00063699
                     10,                0.50792,                 0.1823,                0.56437,                 0.7957,                0.82159,                0.85141,                0.64978,                0.76676,                 0.3977,                 0.6034,             0.00069594,             0.00069594,             0.00069594
                     11,                 0.5211,                0.18777,                0.56143,                0.80925,                0.82998,                  0.856,                0.65172,                0.77115,                0.38101,                0.60161,             0.00075216,             0.00075216,             0.00075216
                     12,                0.49942,                0.18725,                0.55904,                0.82414,                0.82185,                0.85381,                0.66029,                0.77368,                 0.3922,                0.60235,             0.00080563,             0.00080563,             0.00080563
                     13,                0.49029,                0.18406,                0.56244,                0.81249,                0.79162,                0.86211,                0.67064,                0.76044,                0.41438,                0.60158,             0.00085636,             0.00085636,             0.00085636
                     14,                0.49326,                0.19119,                0.56019,                0.82913,                0.78585,                0.85632,                0.66411,                0.75032,                0.41128,                 0.5993,             0.00090435,             0.00090435,             0.00090435
                     15,                0.48732,                0.18463,                0.55904,                0.85901,                 0.7673,                0.86217,                0.65512,                0.79561,                0.40022,                0.60845,              0.0009496,              0.0009496,              0.0009496
                     16,                0.48367,                0.18259,                0.56129,                0.81754,                0.78676,                0.85874,                0.67291,                0.74431,                0.39788,                 0.5997,              0.0009921,              0.0009921,              0.0009921
                     17,                 0.4968,                0.17959,                0.55825,                0.81067,                0.79977,                0.84979,                0.65002,                0.78813,                0.40856,                0.60448,              0.0010319,              0.0010319,              0.0010319
                     18,                0.50139,                0.18452,                0.56009,                0.84562,                0.73105,                0.83637,                0.65625,                0.75062,                0.42311,                0.59929,              0.0010689,              0.0010689,              0.0010689
                     19,                0.51428,                0.18479,                 0.5605,                0.81132,                0.76852,                0.84065,                0.65948,                0.74901,                0.41815,                0.59881,              0.0011032,              0.0011032,              0.0011032
                     20,                 0.4922,                 0.1846,                0.55633,                0.80517,                0.75549,                0.81848,                0.62041,                 0.7817,                0.43064,                0.60375,              0.0011347,              0.0011347,              0.0011347
                     21,                0.50586,                0.18187,                0.55716,                0.83353,                 0.7459,                0.82585,                0.61179,                0.82361,                0.42088,                0.61246,              0.0011188,              0.0011188,              0.0011188
                     22,                0.47484,                0.18205,                0.55782,                0.80033,                0.76383,                0.83508,                0.62936,                 0.8011,                0.42266,                  0.611,              0.0010914,              0.0010914,              0.0010914
                     23,                0.48048,                0.18854,                0.55524,                0.80327,                0.72592,                0.81715,                0.61664,                0.80244,                0.49449,                0.60988,              0.0010639,              0.0010639,              0.0010639
                     24,                0.46345,                0.19268,                0.55783,                0.80929,                0.72868,                0.78442,                 0.6118,                0.73643,                0.52532,                0.60296,              0.0010365,              0.0010365,              0.0010365
                     25,                0.46243,                0.18635,                0.55731,                0.77426,                0.79389,                 0.8405,                0.63776,                0.78568,                0.40178,                0.61111,              0.0010091,              0.0010091,              0.0010091
                     26,                0.45966,                0.18207,                0.56005,                0.78042,                0.73465,                0.80339,                0.62606,                0.73511,                 0.4962,                0.60102,             0.00098171,             0.00098171,             0.00098171
                     27,                0.46467,                0.18515,                0.55442,                0.78021,                 0.7661,                0.81801,                0.62806,                0.75655,                 0.4753,                0.60378,              0.0009543,              0.0009543,              0.0009543
                     28,                0.45013,                0.17111,                0.55603,                0.80014,                0.81777,                0.84229,                 0.6528,                0.75136,                0.40678,                0.60111,             0.00092689,             0.00092689,             0.00092689
                     29,                0.46045,                0.17734,                0.55548,                0.78525,                0.80227,                0.84531,                 0.6446,                0.76853,                0.43161,                0.60465,             0.00089948,             0.00089948,             0.00089948
                     30,                 0.4437,                0.16478,                0.55754,                0.79729,                0.77924,                0.83834,                0.64292,                0.75344,                0.45637,                0.60138,             0.00087206,             0.00087206,             0.00087206
                     31,                0.46185,                0.16336,                0.56079,                0.79689,                 0.7526,                0.83743,                0.64584,                0.76845,                0.49693,                 0.6044,             0.00084465,             0.00084465,             0.00084465
                     32,                0.45338,                0.16709,                0.55864,                0.78125,                0.79872,                0.84856,                0.65199,                0.77859,                0.47837,                0.60229,             0.00081724,             0.00081724,             0.00081724
                     33,                0.47112,                0.16109,                0.55527,                0.78002,                0.79162,                0.85685,                0.65363,                0.78192,                0.44905,                0.60549,             0.00078983,             0.00078983,             0.00078983
                     34,                0.45582,                0.16032,                0.55724,                0.75989,                0.79025,                0.85543,                0.65323,                0.79101,                0.44394,                 0.6076,             0.00076242,             0.00076242,             0.00076242
                     35,                0.48295,                 0.1639,                0.55779,                  0.826,                0.71152,                0.84945,                0.65035,                 0.7811,                0.43683,                0.60543,             0.00073501,             0.00073501,             0.00073501
                     36,                0.44683,                0.15841,                0.55292,                0.82108,                0.72745,                 0.8291,                0.63994,                0.76819,                0.43875,                0.60084,             0.00070759,             0.00070759,             0.00070759
